0.808 	0.802 	0.796 	0.792 	0.784 	0.772 
0.800 	0.793 	0.786 	0.782 	0.773 	0.760 
0.790 	0.782 	0.776 	0.770 	0.761 	0.748 
0.786 	0.778 	0.772 	0.766 	0.756 	0.744 
0.784 	0.776 	0.770 	0.764 	0.754 	0.742 
0.828 	0.805 	0.785 	0.771 	0.748 	0.716 
0.808 	0.783 	0.764 	0.749 	0.726 	0.692 
0.794 	0.767 	0.746 	0.731 	0.708 	0.673 
0.782 	0.754 	0.732 	0.718 	0.695 	0.660 
0.766 	0.736 	0.716 	0.701 	0.678 	0.642 
0.824 	0.816 	0.808 	0.799 	0.786 	0.761 
0.795 	0.784 	0.775 	0.766 	0.752 	0.726 
0.775 	0.764 	0.754 	0.745 	0.730 	0.702 
0.762 	0.749 	0.738 	0.730 	0.714 	0.686 
0.749 	0.738 	0.728 	0.719 	0.704 	0.674 
0.934 	0.889 	0.852 	0.819 	0.769 	0.689 
0.930 	0.885 	0.847 	0.815 	0.764 	0.683 
0.926 	0.880 	0.841 	0.807 	0.756 	0.674 
0.924 	0.877 	0.836 	0.802 	0.749 	0.667 
0.916 	0.868 	0.826 	0.793 	0.736 	0.651 
0.871 	0.843 	0.817 	0.791 	0.747 	0.681 
0.860 	0.831 	0.804 	0.778 	0.732 	0.667 
0.842 	0.812 	0.784 	0.757 	0.711 	0.645 
0.831 	0.800 	0.771 	0.743 	0.696 	0.630 
0.810 	0.777 	0.747 	0.718 	0.671 	0.605 
0.884 	0.843 	0.805 	0.779 	0.734 	0.634 
0.874 	0.826 	0.786 	0.760 	0.717 	0.617 
0.866 	0.805 	0.767 	0.740 	0.698 	0.598 
0.856 	0.791 	0.752 	0.728 	0.683 	0.583 
0.850 	0.774 	0.736 	0.708 	0.662 	0.562 
0.782 	0.763 	0.747 	0.732 	0.707 	0.670 
0.773 	0.754 	0.737 	0.722 	0.696 	0.658 
0.766 	0.745 	0.728 	0.713 	0.687 	0.649 
0.760 	0.739 	0.720 	0.705 	0.679 	0.642 
0.748 	0.726 	0.709 	0.694 	0.668 	0.631 
0.888 	0.852 	0.823 	0.803 	0.775 	0.726 
0.868 	0.831 	0.801 	0.782 	0.753 	0.702 
0.851 	0.811 	0.783 	0.763 	0.732 	0.678 
0.839 	0.798 	0.769 	0.749 	0.717 	0.660 
0.822 	0.778 	0.750 	0.730 	0.698 	0.637 
